Orador,Texto
"squella, agustín", ciudadanía y los pueblos y naciones de chile- en este proceso constituyente así también la creación de una comisión de verdad justicia y reparación que investigue reconozca divulga y realizó un catastro además de sistematizar y que proponga medidas concretas para la reparación de todas las víctimas de la represión estatal particularmente la situación de los presos y presas políticos de la revuelta en todas sus etapas procesales a aquellos que están privados de libertad con algún proceso en curso o con condenas vinculadas a los hechos y circunstancias de las movilizaciones sociales además que pueda asegurar garantías de no repetición para que las violaciones a los derechos humanos no vuelvan a ocurrir en nuestro país así también y por último la creación de una comisión de derechos humanos y por último adherir a las propuestas de los escaños reservados y en especial a las palabras de rosa catrileo muchas gracias en la sala 4 en la palabra el señor agustín es que ella los compañeros y compañeras constituyentes en el buenos días en el material escrito que se nos entregó hoy se dice que 11 o más convencionales formarán un comité luego se dice que serán atribuciones de los comités realizar propuestas para integrantes de las comisiones y se agrega que los comités determinarán los miembros de la comisión de reglamento al amparo de eso lo que quiero decir es que personalmente tengo vínculos y afinidades e incluso con prácticamente todos los grupos que ahora van a actuar como comités pero sin pertenecer propiamente a ninguno de ellos entonces claro intentaré integrarme algún comité ya que estoy obligado a hacerlo según el instructivo pero si no lo consigo quiero decirle a mis compañeros y compañeras constituyentes que tengo el deseo de colaborar en la comisión reglamento entonces para el evento de que yo no pueda estar en algún comité no veo porque uno tiene que estar forzado a estarlo le pido a los que sí estén en los comités que tengan en cuenta este deseo de colaborar en la comisión reglamento y un punto adicional yo creo que todos fuimos testigos el fin de semana lamentándolo mucho de algunas personas que habiendo votado a prueba como en mi caso cierto empiezan a tener dudas de haberlo hecho ese es un hecho que constate de manera espontánea entonces me preocupa mucho que el voto de rechazo empiece a subir digamos por secretaria pero seamos positivos eso
"barceló, luis", sus discursos no han hecho eco en nuestros pueblos porque seguimos existiendo y para su pesar seguiremos aquí exigiendo y llevando a la práctica nuestros derechos por ello solicitamos e invitamos al resto de convencionales de chile- a apoyar nuestras propuestas y materializar los discursos de plurinacionalidad garantizando nuestra participación en todas las comisiones que se establezcan y garantizando en el comité de asignaciones una persona con idoneidad y conocimiento intercultural porque sin ese conocimiento ocurrirá lo mismo que sucedió con el anterior secretario administrativo que no entendió las necesidades especiales de la marcha y francisca al enconado por ejemplo en su rol de autoridad ancestral tal como lo hemos presentado en las indicaciones que hemos realizado gracias tiene a continuación la palabra en la sala 4 el convencional luis barceló buenos días señora presidenta señor vicepresidente buenos días a todos los constituyentes presentes que están siguiendo la sesión de forma telemática y tengo claro de que esta sesión fue citada solamente para tratar acerca de determinadas comisiones sin embargo creo que por la urgencia que tienen las materias que voy a señalar es necesario que se trate de cuando la presidencia lo disponga pero a la brevedad posible la creación de dos comisiones una de ellas es que es fundamental porque tuvo mucho que ver en la discusión que se llevó a cabo en todo el proceso plebiscitario que es el tema de los derechos sociales los temas de educación salud previsión vivienda y otros que son los temas fundamentales por los que el pueblo nos pidió que estuviésemos presente hoy día acá echo de menos eso se podrá decir que primero hay que tener el reglamento es cierto pero por qué no tener al mismo tiempo una comisión de derechos sociales hoy día creo que es
"garín, renato", señor secretario smoke quisiera referirme a la retórica que hemos escuchado el último mes y medio respecto a que la convención constitucional no debía ser una réplica del congreso nacional yo comparto este postulado sin embargo en la práctica hemos visto que esto se ha visto completamente negado estamos ante una réplica del congreso nacional primero vemos jefes de bancada o sus jefes de bancada o referentes como se le ha llamado a los últimos días en cada grupo enseguida vemos que la propuesta administrativa se basa en la existencia de comités al igual que en valparaíso donde los comités tomar el gobierno diario de las tablas y de las agendas del espacio legislativo y esta vez constituyente además presidenta veo con mucha preocupación que en la televisión en formato matiné ver muy noche hay colegas constituyentes enfrentándose duramente sin argumentos como barras bravas de un lado y del otro como buenos y malos enfrentados en televisión cuestión muy similar a la que hacen los diputados los senadores en los matinales y en otros espacios es decir una réplica presidenta del congreso nacional una réplica que no nos sirve para avanzar puesto que divide entre buenos y malos y esto hay que comprenderlo la historia no es entre buenos y malos no fue entre freyre el bueno y el malo balmaceda el bueno antiguo más edictos en malo allende el bueno el flaco de los malos la historia no es eso hoy día no somos buenos y malos estamos llamados por los pueblos de chile hacer una constitución de forma adulta y seria si las lógicas del congreso nacional muchas gracias presidente muchas gracias
"gómez, claudio", as muy buenos días presidenta elisa muy buenos días presidente vas a no había tenido la oportunidad de intervenir saludar a todos mis padres convencionales y pp ya agradecer a la mesa a las instituciones profesionales técnicos y administrativos que han colaborado en la instalación de esta convención constitucional vengo del distrito 6 que comprende 26 comunas las provincias de san felipe los andes petorca quillota marga marga más las comunas de quintero y puchuncaví un territorio azotado por problemas medioambientales en los móviles papudo y quintero y puchuncaví con problemas con la gran minería en putaendo en catemu con profundas inequidades territoriales como las provincias de aconcagua que hoy pretenden ser región y el epicentro de la crisis hídrica en nuestro país me refiero a la comuna de petorca y con cientos de miles de personas que ven la esperanza en una nueva constitución para construir un chile más justo y con igualdad de trato y muchas personas que nos están viendo y están determinando cómo vamos avanzando en lo pertinente creemos de suma importancia la comisión de reglamento que va a regular la forma de convivencia dentro de la convención nuestras project prohibiciones inhabilidades mecanismos de participación ciudadana dura el proceso los órganos de la convención como también la creación de la norma constitucional por lo que esta comisión perfectamente puede subdividirse en otras comisiones por otra parte ratificamos la necesidad de la comisión de participación popular o ciudadana ya ampliamente consensuada y debatida en este plenario y desde acá ya se nos genera una disyuntiva tenemos dos posibilidades presidenta creamos otras comisiones como transparencia y comunicación o distribución de las funciones de la convención en los territorios para que cada uno de los convencionales podamos integrar estas comisiones de acuerdo a nuestros conocimientos habilidades expertise o de acuerdo a nuestras preferencias o de lo contrario tenemos que sumarnos como observadores a las comisiones ya constituidas donde no vamos a tener derecho a voto lo que constituiría una vulneración al principio desde alavesa
"vargas, mario", señor vargas en el hemiciclo active su botonera por favor muchas gracias secretario marimar y también lo siguiente lista jaime vas a compañeros convencionales constituyentes vengo del distrito 25 del sur de chile la región de los lagos la región más linda de nuestro territorio por todas horas por el sur sanpaolo por el norte incluyendo las tierras mapuche williche el san juan de la costa el fortalecimiento de la democracia y los territorios traducir en la participación ciudadana es una necesidad imperiosa urgente necesaria justa y democrática devolver el poder al pueblo para legitimar este proceso constituyente es por eso que apoyo una comisión especial de participación ciudadana popular y que ésta incluye en forma especial a un sector doblemente marginado como son los sectores rurales que se han convertidos en los patios traseros de las urbes comunales sin conectividad vial y sin conectividad tecnológica y también otro sector que está en este condenado sistema neural condenado a la pobreza y a la dependencia como son los adultos mayores tenemos un mandato moral para que la participación sea efectiva inclusiva de los que nunca han sido convidados a participar y a pesar de los escasos recursos que se estimularon para nuestro trabajo territorial esto nos desafía a ser creativos y buscar alianzas es por esto que ingresara a la mesa la suite solicitud que firme un convenio
"abarca, jorge", gracias presidenta gracias precipicio presidente sin duda que nos encontramos en un proceso histórico de reivindicación de los pueblos naciones originarias en chile y que se está materializando con esta convención esta convención constitucional con la elección de esta mesa y la creación de las comisiones de participación y consulta de los pueblos originarios que hoy discutimos en detalle y que apoyaremos sin ninguna duda lamentablemente me toca todo me toca a traer a este hemiciclo con la energía del convencimiento una demanda postergada olvidada a invisibilizar habló de la del pueblo tribal afrodescendiente chileno que habita principalmente en el distrito uno de arica y parinacota y que se encuentra reconocida por nuestro ordenamiento jurídico mediante la ley 21 mil 151 desde abril del año 2019 al amparo del convenio 169 de la oit y que lamentablemente fue excluido de los escaños reservados y de esta convención el estado chileno no ha hecho más que perpetuar el racismo y la segregación para con este pueblo tribal primero ocultando lo de su historia colonial y con su desarrollo y en su desarrollo fundacional y posteriormente y hasta hoy en una actitud continua de no reconocimiento que llega hasta nuestros días desde nuestra visión la demanda por el afrodescendiente debe ser incorporada a la labor de esta comisión de participación y consulta a los pueblos originarios como sujeto de derechos colectivos y al amparo por la legislación y tratados internacionales vigentes y esto porque lo menciona claramente el artículo 5 de la ley 21 651 y que indica los afrodescendientes chilenos al que se hace referencia el artículo 2 de esta ley tienen el derecho a ser consultados mediante el convenio 169 de la oit sobre pueblos indígenas y tribales en países independientes cada vez que se que se vea dictar medidas legislativas y administrativas susceptibles de afectar directamente gracias muchas gracias en seguida tiene la palabra en la sala 1 la convencional constituyente maría magdalena' ribera
"vargas, mario", no diga muchas gracias estamos a puertas de desafíos históricos innegables que nos deben llevar a consolidar una orgánica al interior de la convención es por esto que se hace necesario y urgente ampliar la mesa en una lógica de despejar organizar planear tener una carta de navegación y saber a dónde nos dirigimos cuál es nuestro norte como legitimar este proceso a través de la igualdad participación inclusión diversidad que este debate no se convierta en conquistar cuotas de poder no nos perdamos en nuestra misión por esto vengo a apoyar el reglamento para el funcionamiento provisional que la mesa presenta al pleno para agilizar y dinamizar tan prontamente posible lo que verdaderamente nos convoca y que el pueblo nos mandato escribir una nueva constitución para chile la casa común donde todas y todos debemos caber
"barceló, luis", masa señor secretario y los constituyentes es una grado está participando en esta convención porque representa la esperanza de que en chile podamos crear entre todos y entre todos un mundo que sea mucho mejor que al que los que aquellos que tenemos hoy día si estamos cerca de la séptima década nos ha tocado vivir bajo la dictadura perdemos gran parte de los años de nuestra fuente lo que estamos en esta etapa de la vida después nos tocó no recuperar es luchar para regular la democracia ayer tuvimos y ahora producto todos los pecados que evidentemente se cometieron en el país durante los últimos 30 años sin perjuicio de que el país progreso mucho pero en los niveles de desigualdad que teníamos no cierto ya no eran tolerables es la razón por la que estamos acá pero estoy mirando con un poco de escepticismo con un poco de dolor todo lo que está sucediendo creo que a veces no hemos aprendido nada de la lucha contra la victoria creo que la derecha silvera todavía en perjuicio de agradecer clasista en prejuicios lejos absolutamente decimonónicos es cierto que estamos en un nuevo comisario cultural que el mundo está cambiando pero yo lo que quiero pedirles a todos y cada uno de los constituyentes es que mejoremos el trato entre nosotros a veces a través de cuestiones ideológicas nos estamos insultando y con eso lo único que hacemos
"squella, agustín", dos prevenciones simplemente en su momento y ese presente pero ya es extemporáneo reiterar lo que de lo que se trataba era de complementar la mesa y no de ampliar la mi preocupación y simplemente quiero dejarlo como una preocupación de cara al futuro es que mañana pudiera entenderse erróneamente que estamos cambiando reglas previas a la constitución de nuestra convención que habla de elegir un presidente y un vicepresidente al multiplicar las vicepresidencias no los no lo haré yo pero si alguien el día de mañana podría ser bueno así como alteramos la regla de la vicepresidencia podríamos alterar otra de las reglas previas con lo que igual yo no estaría de acuerdo la segunda prevención a mi juicio se la llame finalmente como se les llame yo había propuesto comité ejecutivo delegados si se las quiere llamar vicepresidencia en el fondo no perder de vista que de lo que se trata es de apoyar a la mesa de dividir el enorme trabajo que recae sobre ella de aliviar a la presidenta y al vicepresidente en todas las tareas que tienen que cumplir internas y extenda en consecuencia se trata de dividir el trabajo y no de dividir el poder el solo hecho de que se la llame vicepresidentes colocan una insinuación de que se trata de más cargos de poder cuando lo que se trata aquí es de dividir el trabajo de la mesa que está recayendo solo en dos personas injustamente y no de dividir el poder y lo último en cuanto al sistema de votación hagámoslo de la manera que asegure la presencia de las mayorías y de las minorías no solo de las mayorías gracias
"squella, agustín", fuimos elegidos constituyentes por distritos y en consecuencia todos vamos a privilegiar el trabajo con nuestros distritos pero yo celebró la propuesta de la mesa que hable de semana territorial y no distrital porque en verdad no obstante haber sido elegidos por distritos lo que somos creo yo finalmente es representantes nacionales representantes del país que espera una constitución política para la república de chile en consecuencia celebró la palabra territorial que es más amplia que distrital porque incluye el distrito en que estamos cada uno de nosotros pero va más allá de él por ejemplo yo fui elegido por el distrito 7 no podría por ejemplo tener actividades territoriales en el distrito 6 de un grupo de ciudadanos del distrito 6 me invita a conversar con ellos no restrinjamos en lo territorial al distrito y término es bueno que la comisión de descentralización en consecuencia determine el alcance de la palabra territorial concierne sólo al distrito una alternativa o consciente al territorio de chile yo podría ser invitado a concepción a hablar sobre la convención constitucional sería una actividad territorial fuera de mi distrito segundo que establezca los tipos de actividades hay muchos tipos de actividades que podrían caber en esta semana territorial que la comisión de descentralización hará un esfuerzo analítico para describir tipos de actividades 3º que incluya también cómo dar cuenta a cada uno de nosotros de las actividades que realizamos y en quinto lugar que determine la periodicidad de esa semana porque en verdad no tiene por qué ser una semana al mes no tenemos por qué copiar eso tan podría ser otra periodicidad gracias
"gómez, claudio", gracias presidenta vicepresidente tener similar a demi convencer a la compañera janis putaendo conocido como el primer pueblo libre de chile ubicado en la zona precordillerana la región de valparaíso y aconcagua hoy se encuentra en una difícil situación medioambiental por cuanto se está dando inicio a las obras minera del proyecto visita holding de la canadiense antes cooper a través de un proyecto minero de gran envergadura con una mina a rajo abierto en plena cordillera lugar donde nacen las aguas del río rozín que riega más de 7.000 hectáreas y donde más de 17.000 personas consumen agua del río y napas subterráneas encontrándose en peligro más de 250 que la sed es roca 50 humedales andino lugar de vestigio arqueológico y el camino del inca ruta por donde pasó el ejército de libertador zona de riego y crianceros hábitat del gato andino pumas cóndores y guanacos donde pastorear sobre los pedales y alto andino y todo esto en una zona donde se encuentra un decreto de escasez hídrica y donde en julio no hubieron precipitaciones nuestro país ha cambiado y los poderes constituidos se encuentran en una profunda crisis de legitimidad y no han podido dar solución a los habitantes de putaendo los que se encuentran movilizados desde hace años con un servicio evaluación ambiental integrado por un ex intendente y seremi que razonen zinc conoce del territorio y tomando en consideración factores políticos y sin participación ciudadana y con una constitución que por el presente presente proceso estamos radicando que permite por una parte establecer en un nivel de superioridad a la actividad minera por sobre las comunidades locales los derechos de agua y el medio ambiente y por la otra que toda la institucionalidad se encuentra subordinada a dicha actividad esta convención detenta la oportunidad para darle a chile una constitución ecológica que cambia el paradigma y proteja de forma efectiva nuestro medio ambiente teniendo en la única zona del valle central sin gran minería y los habitantes de territorios si lo exigen putaendo no quiere ser la próxima zona de sacrificio putaendo sin mineras putaendo resiste algo cabo región chilo
"barceló, luis", bueno buen día señora presidenta buen día señor vicepresidente el señor secretario y todos los convencionales constituyentes y bueno yo soy uno de aquellos que estamos dentro del tema de los diez que nos figuramos participando pero que sí estamos participando que yo estoy participando tanto en la condición de descentralización como en la de participación indígena lo que ocurre es que no tenemos derecho a voto pero quiero proponer lo siguiente yo creo que cada uno de nosotros por el solo hecho de ser convencional tiene pleno derecho a estar en alguna en alguna comisión y quiero que se tome nota de esto para la redacción del reglamento definitivo ied por el solo hecho de ser convencional uno tiene derecho al menos a estar en una comisión cualquier por darse alguna situación hipotética no cierto de que nos encontremos que el día de mañana vayamos de algún convencional que no participe en ningún caso sería absolutamente contrario al espíritu por el cual no es cierto los electores no se eligieron para representar un determinado un determinado territorio y
"abarca, jorge", minutos señor jorge abarca por vía de zoom tienen la palabra hasta por tres minutos ahora sí señora muy bien muchas gracias señor secretario muchas gracias presidenta el vicepresidente hace un poco más de un mes asumimos el mandato de la ciudadanía de proponer un proyecto de constitución que nos permita unirnos en torno a principios de justicia compartida por todas y por todos y también en torno a una constitución que la ciudadanía haga propia porque ha participado exhibido de manera efectiva hoy es necesario decir que la convención constitucional está avanzando a paso firme que escribió también es necesario decir que estamos avanzando de una forma inédita en la historia de nuestro país nos estamos organizando para escuchar a todos y a todos especialmente a quienes históricamente no han sido escuchados dentro de este universo no menor de personas que históricamente como digo han sido ignoradas en forma de decisiones en torno a decisiones importantes se encuentran las regiones y muy especialmente las zonas extremas sin embargo hoy estoy entusiasmado porque esta historia es desde centralismo y exclusiones se rompe porque esta convención está actuando con el compromiso de no dejar a nadie atrás sin embargo no emocionan también estar junto con la comisión de descentralización y los convencionales territoriales sesionando desde arica en la sala que tiene este nombre fálica me emociona dar este paso es centralizado al trabajo de la convención buscando con la gente de las regiones las mejores formas de llevar el proceso constituyente sabemos que lo que hacemos es insuficiente tantos años de inequidad eleva las demandas y sabemos que siempre nos pedirán más de lo que podemos hacer lo sabemos pero sepan todos que los que nos apoyaron y que estos son el origen de nuestra presencia acá que hacemos nuestro mejor esfuerzo para que esta construcción sea robusta y sincronizada con la realidad de nuestros chistes hoy estamos compañeros y compañeros convencionales entrenando desde américa querida y desde aquí estamos construyendo con las regiones para las
"garín, renato", muchas gracias estimada la miel mi más sentido pésame para hostil compañeros julio estimada también yo la he escuchado varias veces referirse al clima mediático en el cual estamos viviendo y trabajando en esta convención y quiero decir claramente estimada también presidenta de esta convención que estamos bajo un asedio mediático un asedio mediático que no está empujado ni por la derecha política ni por ciertos constituyentes o colegas dentro de este espacio este asedio mediático viene del oligopolio mediático que opera en chile estimada presidenta donde un solo medio controla 10 radios nacionales donde un solo diario controla veintiún diarios en todo el país donde el servel para las elecciones tiene que pagarle casi tres millones de dólares a ese diario para hacer publicidad donde tenemos presidenta una estructura mediática que depende en el fondo de los grupos económicos de la matriz productiva bancos mineras tiendas del retail etcétera entonces no es cierto que estemos aquí enfrentados a colegas que están en hacer declaraciones altisonantes y vociferantes lo hacen es cierto pero quienes realmente empujan esta ola este océano es el oligopolio mediático y aquí ltm el oligopolio mediático presidenta el oligopolio mediático no tiene ni partido político ni color ideológico el oligopolio mediático quiere protegerse a sí mismo y es por eso que eligen candidatos que no cuestionen el higo polo mediático y es por eso que mi estimado amigo el alcalde de recoleta sufrió el asedio mediático durante meses porque propuso reformas a la ley de medios y reformas del oligopolio mediático cualquier persona o institución que ponga en riesgo esa estructura corporativa de los medios en chile va a ser asediado por ese oligopolio mediático a quien le temen presidenta para hablar con claridad le temen a que en esta convención seamos valientes y aprobamos reformas que hagan que el oligopolio mediático sea más tenue o termine por ejemplo que si los señores de iberoamérica en radios chile tienen 10 radios tengan que desprenderse algunas o si copesa quiere dedicarse a otros negocios junto con producir la verdad informativa tenga que renunciar alguno de esos negocios o que no puede hacer presidenta lo que hace el grupo prisa que por un lado produce verdad informativa atraer esas 10 radios y por otro nos vende los textos escolares con lectura santillana obligatoriamente con sus acuerdos con el ministerio de ocasión ese oligopolio mediático estima también presidenta accede a esta convención y hay que ser valientes para enfrentarlo porque tal como decía cervantes que ladren presidenta que ladren porque es señal que avanzamos muchas gracias
"gómez, claudio", muy buenos días señor secretario y se presidente de saludar también a las y los convencionales y en especial mis condolencias a nuestra presidenta y nuestro compañero julio álvarez un fuerte abrazo desde aconcagua a chiloé región de agua y algo al mabhuh mi breve intervención en esta oportunidad es como integrantes de la subcomisión de órganos de la convención para clarificar y precisar algunos puntos la república la cosa pública como forma de organización política de un estado surgió con posterioridad a la revolución francesa donde el poder ya no lo detentaba el rey sino que una persona elegida democráticamente y de forma temporal esto lo señaló pues algunos convencionales de chile vamos y gran parte de la prensa ha pretendido instalar que a través de un simple pero importante reglamento de inferior rango legal que la ley y la constitución pretendemos sustituir o alterar el carácter de república de chile incluso algunos han señalado que queremos quebrantar la unidad nacional y que queremos ser una monarquía probablemente añoran los regímenes autoritarios como lo hicieron los conservadores con o'higgins los estanqueros con portales y la constitución del 33 o recientemente con la dictadura pero no señores no confundamos a la ciudadanía no desinforme moss repúblicas somos y seguiremos siendo lo que realmente hicimos en la subcomisión fue armonizar el artículo 2 de nuestra propuesta de reglamento en el sentido de que la convención constitucional es de los pueblos de chile o mejor dicho que el poder constituyente le corresponde a los pueblos de chile pero jamás estuvo en duda el carácter de república de chile como forma de organización política y menos en un reglamento finalizó aclarando que no existe ningún tipo de incompatibilidad que cuando discutamos los contenidos de fondo establezcamos que somos una república con autonomías regionales y plurinacional por un chile más justo diverso y con igualdad de trato muchas gracias
"squella, agustín", podría ser un discurso hemos exagerado en materia de discursos simplemente quiero dejar un testimonio que se suma a los anteriores que hemos escuchado acerca del muy buen trabajo que hizo la comisión reglamento debido a sus coordinadores debido a la asistencia técnica y debido a quienes participaron en ella con exclusión mía por supuesto le levantó el ánimo del trabajo de esa comisión yo tengo que ser franco con ustedes porque todos tenemos altibajos en el ánimo según van pasando las cosas cierto oscilaciones del ánimo pero a mí me me levantó mucho el ánimo como convencional chequear comprobar en el lugar en la manera como se trabajó en la comisión reglamento y eso me hace presagiar de que ese clima que conseguimos 31 muy distintos se puede conseguir también en 355 muy distintos terminó con una reflexión general vivimos en una sociedad diversa todos lo celebramos una sociedad abierta es un avispero creencias distintas ideas distintas maneras de pensar distintas modo de sentir distintos intereses distintos es así y hay que celebrarlo pero hay una cosa que nos une y aquí sí que tomo un poquito el tono de un discurso que nos une a todos que estamos en un mismo país y los que no están en el extranjero añoran este país al que pertenecen no olvidemos por favor y excusen de este tono de discurso que lo más que tenemos en común quizás lo único además de la tarea de hacer una nueva constitución es que estamos en un mismo país en un mismo momento tiene la palabra a continuación en la sala 4 la convencional amaya alves
"squella, agustín", no estimados compañeros y compañeras constituyentes si va a existir en nuestra convención una instancia que juzgue y eventualmente sanciones conductas de constituyentes contrarias a la ética esa misma instancia podría actuar también como mediadora a propósito de algún problema que pueda surgir entre dos o más constituyentes para que sean éstas las que ayudadas por esa instancia resuelvan por sí mismas el problema que les afecte prácticamente todos los órdenes de cosas y también en asuntos éticos la mediación y el acuerdo directo entre quienes disienten es mucho mejor que el juicio y el castigo
"garín, renato", artículo 41 pasamos enseguida el artículo 42 en el artículo 42 la primera indicación es la número 110 de independiente nueva constitución frente amplio- movimientos sociales constituyentes colectivos de la prueba pueblo constituyente e independientes se ofrece la palabra respecto a la indicación 110 algo que se haya comprado convencional
"garín, renato", altiare aguilera muchas gracias señor secretario en nombre de las provincias del maipo melipilla y talagante tierra de los carreras es un honor hablar ante esta convención constitucional histórica doña javiera don jose miguel son los verdaderos padres y madres de esta república en 1811 contra élite colonial amenazaba con volver a las manos del rey y volver al viejo régimen imperial español don jose miguel ya javier a cabalgaron desde el monte melipilla y dieron el primer golpe de estado a la historia esta república sepámoslo la república comienza con un golpe de estado en 1811 y don jose miguel díaz javier a son los artífices de las grandes instituciones de este país el primer colegio el faro de la educación escolar también nuestra primera bandera y por supuesto primer escudo y en el primero es cubre el centro ubicaron a dos mapuche y un lema eligieron el latín el mismo lema que acompañó a los romanos durante el imperio el mismo lema que está escrito en el pentateuco y en el libro de job el mismo lema que elegí observantes para la portada del quijote el mismo lema de los maestros herméticos durante el medioevo después de las tinieblas la luz escribieron los carreras en el escudo post tenebras looks después de la carrera la posta fue tomada por ese abogado notable llamaba manuel rodríguez güiza resistió la reconquista con métodos que la reconquista anticipó dos siglos después para la cena y para la venta sexy para la tortura del estado y una vez ganada la independencia sabemos que esa primera escuadra nacional que está a mis espaldas esos cuatro primeros buques el navío san martín el chacabuco en lautaro derrotaron a lo que quedaba del imperio y ese mismo grupo de hombres cruzó los andes a pie junto con mapuches para liberar aquí una guerra contra un imperio y la ganaron vengo aquí en nombre de una cultura política la más antigua de este continente nacía hace 160 años el radicalismo hijo del liberalismo decimonónico de bilbao y de lastarria padre del socialismo hermano de camino de la democracia cristiana y del partido socialista de allende hasta el último día del gobierno de allende estuvo el partido radical en la moneda y si se realiza la historia fueron los dirigentes radicales los más lúcidos que anticiparon lo que vendría y los radicales no se enriquecieron luego como los jovencitos del mapu ni tampoco enarbolaron discursos tremendistas como los jovencitos del mir no el radicalismo eligió la república el radicalismo eligió el orden y reivindicó aquí a pedro aguirre cerda es más grande presidente de nuestra historia y reivindicó aquí a los 30 años más fecundos de la historia de chile donde el radicalismo también participó los de la concertación de partidos por la democracia y como las tinieblas y la luz son metáforas esta época también ha tenido tinieblas el desarrollo ha traído la desigualdad la concertación se entregó las oficinas de luego de los estudios de abogado ya las influencias al financiamiento ilegal de la política y les quiero decir hoy con plena conciencia el radicalismo no ha sido parte de esas malas prácticas políticas hasta el día de hoy el radicalismo hipoteca sus sedes y vende sus sedes centenarias para participar de esta política merca de ésta ya está desapareciendo su bancada en el congreso resistiendo en los últimos albores de la república en estos 160 años el mundo cambio obviamente un hombre tocó la luna un muro cayó en berlín y aunque algunos todavía no se enteran la guerra fría terminó 1 imperio se alza desde el oriente un partido único con los métodos del capitalismo y parece que los derechos humanos ya no existieran cuando se trata de enarbolar lo en esta convención la balanza comercial no paga los derechos humanos la balanza comercial no paga los principios la balanza comercial no paga la soberanía y si es tomar añade se trata recuperemos también por fin la soberana moral de este país la soberanía ética entregada durante centenares de años a la iglesia católica de roma soy respetuoso de quienes rezan y su relación con los dioses por supuesto que sí pero debo criticar duramente a las jerarquías eclesiásticas que han sido cómplices de sacerdotes pedófilos de sacerdotes corruptos y también lo sabe mi hermano adolfo millabur y su carta también lo sabemos que detrás de correggio saavedra detrás de la pseudo pacificación de la araucanía venían los curas y venía la iglesia católica la iglesia católica y su jerarquía eclesiástica ha sido cómplice de las tinieblas de este país hoy la élite desesperada vuelve a pensar la soberanía de que estamos nosotros para volver a ser un país soberano y la soberanía se basa en el trabajo cualquier sociedad decente se articula en base al trabajo humano no la inteligencia artificial no las máquinas y el capital financiero el trabajo humano de los trabajadores porque son los trabajadores los que hacen estas sales los que hacen el mundo son los trabajadores estimadas compañeras y compañeros son los trabajadores es el trabajo el principal motor humano y el peso chileno nuestra moneda es la representación fiel de esa soberanía después de las tinieblas la luz después del siglo 20 el siglo 21 después decidimos la esperanza después del caos la repubblica después de pinochet la convención constitucional libre y soberana después de las tinieblas la luz post tenebras lux viva chile libre y soberano
"garín, renato", a desplegar así que agradeciendo el trabajo también de todos los que han puesto la disposición del trabajo en este cronograma hago el llamado también a aprobar esta propuesta muchas gracias el método con el cual vamos a construir la constitución es un método tan antiguo como la humanidad que data del senado romano plenarios comisiones flujos entre las comisiones y los plenarios se le ha agregado por supuesto en buena hora participación popular plebiscitos de alimentos pero es la estructura parlamentaria que acompaña a la humanidad se ya miles de años y esto es muy notable porque si ustedes acuerdan hace cuatro meses atrás el 3 de julio un sector político encabezada por docentes de derecho con vocación de juristas internacionales decían que había que des parlamentarizar esta convención se acuerda ustedes no des parlamentarizar la convención titular en todos los diarios de hecho algunos parlamentarios cuyas carreras van en franco retiro aceptaron esto no y creyeron que eran portadores de un virus que eran parlamentarios se hizo incluso una campaña pública y dijimos mixta no para atar decir que ya quién a que hacíamos trampa presentándonos a la elección para esta convención y qué es lo que después lamentar izaron nada estamos en el congreso con el secretario del cnte de la cámara diputado con rodrigo de la biblioteca del congreso con ex asesores del congreso estamos en el congreso en métodos parlamentarios tan activos como la humanidad por ende la retórica que escuchamos del vicepresidente basa y otros junio-julio en adelante debes parlamentarizar la convención no tenía ningún sustento porque no había cómo hacerlo y esto es lo que a mí me llama la atención la miel que es lo que aristóteles distinguía aristóteles gran filósofo que pesa no escribe el mercurio un gran filósofo distinguida ante retórica y política retórica es una cosa política es otra cosa ya que hay dirigentes de un conglomerado en específico que no hace política hace retórica y lo estamos viendo en estas materias del calendario lo estamos viendo en las comisiones y lo estamos viendo en la prensa no hacen política hacen retórica entonces a cuatro meses de instalada esta convención que le hago un fraternal llamado a que dejen la retórica y hagan política y esa famosa ida de des parlamentarizar en la cual fracasaron les puede servir como testimonio porque
"rojas, rodrigo", muy poca gente puede ver de los medios tradicionales como son radio la televisión y también de las redes sociales creo que es muy importante una apertura fundamental de todo lo que estamos viviendo hacia la ciudadanía y por eso sí que si tuviera que crear una cuarta comisión o re comisiones yo me centraría en esta creo que la más importante por último señalar que la la situación que está en que están nuestros compañeros periodistas afuera montón de horas 12 horas parados a ir al frío creo que es muy inconveniente tiene a propiedad además injusta creo que perfectamente a lo menos se podría habilitar una sala donde pudieran ellos tomarse un café o un té o estar si bien no con estar presencialmente por razones de aforo con nosotros por lo menos darles la oportunidad de que tengan un lugar donde puedan permanecer por algún rato muchas gracias quedan dos personas inscritas para cerrar el debate en primer lugar te en la palabra del señor rodrigo rojas que está en la sala 3 muchas gracias señor secretario buenas tardes a todas todos y todos los presentes qué tristes qué increíble que muchos convencionales se insista con un discurso agotado hablando de violencia de poco diálogo de censura y una postura claramente contra la mesa directiva pero en cierto punto también hasta los entiendo por primera vez son minoría y muchos aquí presentes llevamos
